Messier	Name	DEB2000	RAB2000	Const	mag	size	Object
M   1	NGC 1952	22.0166666666666636	83.6249999999999884	Tau	8.4	6.0	Crab nebula
M   2	NGC 7089	-0.81666666666666655324	323.3749999999999551	Aqr	6.5	12.9	
M   3	NGC 5272	28.3833333333333294	205.5499999999999715	CVn	6.4	16.2	
M   4	NGC 6121	-26.5333333333333296	245.8999999999999658	Sco	5.9	26.3	
M   5	NGC 5904	2.0833333333333330	229.6499999999999681	Ser	5.8	17.4	
M   6	NGC 6405	-32.2166666666666622	265.0249999999999632	Sco	4.2	15.0	Butterfly cluster
M   7	NGC 6475	-34.8166666666666618	268.4749999999999627	Sco	3.3	80.0	
M   8	NGC 6523	-24.3833333333333299	270.9499999999999624	Sgr	5.8	90.0	Lagoon nebula
M   9	NGC 6333	-18.5166666666666641	259.7999999999999639	Oph	7.9	9.3	
M  10	NGC 6254	-4.0999999999999994	254.2749999999999647	Oph	6.6	15.1	
M  11	NGC 6705	-6.2666666666666658	282.7749999999999607	Sct	5.8	14.0	Wild Duck cluster
M  12	NGC 6218	-1.9499999999999997	251.7999999999999650	Oph	6.6	14.5	
M  13	NGC 6205	36.4666666666666616	250.4249999999999652	Her	5.9	16.6	Great Cluster in Hercules
M  14	NGC 6402	-3.2499999999999995	264.3999999999999633	Oph	7.6	11.7	
M  15	NGC 7078	12.1666666666666650	322.4999999999999552	Peg	6.4	12.3	
M  16	NGC 6611	-13.7833333333333314	274.6999999999999618	Ser	6.0	35.0	Eagle nebula
M  17	NGC 6618	-16.1833333333333311	275.1999999999999618	Sgr	6.0	46.0	Omega nebula
M  18	NGC 6613	-17.1333333333333310	274.9749999999999618	Sgr	6.9	9.0	
M  19	NGC 6273	-26.2666666666666630	255.6499999999999645	Oph	7.2	13.5	
M  20	NGC 6514	-23.0333333333333301	270.5749999999999624	Sgr	6.3	29.0	Trifid nebula
M  21	NGC 6531	-22.4999999999999969	271.1499999999999623	Sgr	5.9	13.0	
