Cat,NGC/IC,RAJ2000,DEJ2000,N,Note,qPos
N,1,1.8159583333333331,27.7083611111111073,7,*,c
I,1,2.1152499999999997,27.7193611111111073,1, ,c
I,1,2.1117916666666664,27.7176944444444406,1, ,c
I,1,2.1133333333333330,27.7180555555555517,3, ,d
N,2,1.8210416666666664,27.6779444444444406,5,*,c
I,2,2.7533333333333330,-12.8219444444444427,2, ,d
I,3,3.0252999999999996,-0.41487499999999994238,4, ,b
N,3,1.8199166666666664,8.3014166666666655,7,*,c
I,4,3.3626249999999995,17.4860833333333309,5, ,c
N,4,1.8517083333333331,8.3734166666666655,4,*,c
N,5,1.9538624999999997,35.3622361111111062,4, ,b
I,5,4.3954208333333327,-9.5431833333333320,3, ,b
I,6,4.7286249999999993,-3.2756388888888884,4, ,c
N,6,2.3862916666666663,33.3087222222222176,8,*,c
N,7,2.0865833333333330,-29.9157222222222181,3, ,c
I,7,4.7212499999999993,10.5944444444444430,4, ,d
N,8,2.1888749999999997,23.8385555555555522,5,*,c
I,8,4.7601666666666660,-3.2216388888888884,3, ,c
N,8,2.1901249999999997,23.8391388888888856,1,*,c
N,8,2.1881249999999997,23.8390555555555522,1,*,c
N,9,2.2277083333333330,23.8177499999999967,9,*,c
I,9,4.9341666666666660,-14.1216666666666647,2, ,d
I,10,5.1005416666666660,59.2927222222222140,4, ,c
N,10,2.1429166666666664,-33.8580555555555509,2, ,d
N,11,2.1767916666666664,37.4482777777777726,5, ,c
I,11,13.2470833333333315,56.6216666666666588,1,*,d
N,12,2.1867083333333330,4.6123055555555549,6, ,c
I,12,5.0624999999999993,-2.6524999999999996,2, ,d
N,13,2.1993333333333330,33.4331388888888842,6, ,c
I,13,5.0840833333333326,7.7003888888888878,5, ,c
N,14,2.1933749999999997,15.8185833333333311,1,*,c
N,14,2.1927916666666664,15.8155555555555534,6,*,c
N,14,2.1908333333333330,15.8110277777777756,1,*,c
I,14,5.6304166666666659,10.4902777777777763,2, ,d
N,15,2.2603833333333330,21.6243666666666637,4, ,b
I,15,6.9899999999999990,-0.06166666666666665810,2, ,d
N,16,2.2676249999999997,27.7296388888888850,7, ,c
I,16,7.0329166666666657,-13.0936111111111093,2, ,d
N,17,2.7770833333333329,-12.1072222222222205,3,*,d
I,17,7.1237499999999990,2.6486111111111107,3, ,d
N,18,2.3467499999999997,27.7325277777777739,1,*,c
N,18,2.3459999999999997,27.7316388888888850,4,*,c
N,18,2.3456249999999997,27.7317222222222184,1,*,c
I,18,7.1458333333333323,-11.5863888888888873,3, ,d
I,19,7.1641583333333323,-11.6405944444444428,3, ,b
N,19,2.6705833333333330,32.9829166666666621,6,*,c
I,20,7.1653999999999990,-13.0101499999999982,3, ,b
N,20,2.3862916666666663,33.3087222222222176,8,*,c
I,21,7.2930833333333323,-0.16383333333333331058,3, ,c
N,21,2.6952083333333330,33.3524722222222176,6,*,c
N,22,2.4509583333333330,27.8318611111111072,7, ,c
I,22,7.3879166666666656,-9.0799999999999987,2, ,d
I,23,7.7118833333333323,-12.7194305555555538,2, ,b
N,23,2.4724583333333330,25.9238888888888853,6, ,c
N,24,2.4845416666666663,-24.9644166666666632,3, ,c
I,24,7.8195833333333322,30.8394444444444402,2, ,d
N,25,2.4983333333333330,-57.0202777777777699,2, ,d
I,25,7.8004166666666656,-0.40749999999999994340,4, ,d
I,26,7.9414999999999989,-13.3379444444444426,3,*,c
N,26,2.6081666666666663,25.8320833333333297,6, ,c
I,27,8.2758041666666655,-13.3718999999999981,2, ,b
N,27,2.6368333333333330,28.9965555555555515,6, ,c
I,28,8.2853083333333322,-13.4567916666666648,2, ,b
N,28,2.6053333333333330,-56.9890555555555476,2,*,c
I,29,8.5449291666666655,-2.1774999999999997,3, ,b
N,29,2.6953333333333330,33.3524999999999954,7,*,c
N,30,2.7114166666666663,21.9771944444444414,3,*,c
N,30,2.7119166666666663,21.9779166666666636,1,*,c
N,30,2.7102499999999996,21.9779166666666636,1,*,c
I,30,8.5612499999999988,-2.0852777777777775,2, ,d
I,31,8.6025916666666655,12.2681777777777761,5, ,b
N,31,2.6605833333333330,-56.9859166666666588,3,*,c
I,32,8.7564333333333321,-2.1416916666666664,3, ,b
N,32,2.7233333333333330,18.7956666666666641,2,*,c
N,33,2.7347916666666663,3.6755833333333328,1,*,c
N,33,2.7359999999999996,3.6758333333333328,3,*,c
N,33,2.7371666666666663,3.6763055555555550,1,*,c
I,33,8.7708333333333321,-2.1377777777777775,3, ,d
I,34,8.9012083333333321,9.1238888888888876,5, ,c
N,34,2.7770833333333329,-12.1072222222222205,3,*,d
N,35,2.7935749999999996,-12.0206944444444428,3, ,b
I,35,9.4164166666666654,10.3578888888888875,4, ,c
I,36,9.4568874999999987,-15.4408638888888867,3, ,b
N,36,2.8432083333333329,6.3890833333333324,6, ,c
N,37,2.8459166666666663,-56.9572222222222143,2,*,c
I,37,9.6424583333333320,-15.3583055555555534,4, ,c
I,38,9.6620416666666653,-15.4192777777777756,3, ,c
N,38,2.9458333333333329,-5.5866666666666659,2, ,d
N,39,3.0790416666666662,31.0611111111111068,5, ,c
I,39,9.7850833333333320,-14.1726111111111091,5,*,c
N,40,3.2538749999999995,72.5219999999999899,4, ,c
I,40,9.8394166666666653,2.4559166666666663,5, ,c
N,41,3.2001666666666662,22.0235555555555525,4, ,c
