HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
18622	02 58 15.72	-40 18 17.0	 2.88	Acamar	Eridanus	theta
10144	01 37 42.75	-57 14 12.0	 0.45	Achernar	Eridanus	alpha
4614	00 49 05.10	+57 48 59.6	 3.46	Achird	Cassiopeia	eta
108248	12 26 35.94	-63 05 56.6	 0.77	Acrux	Crux	alpha
76756	08 58 29.20	+11 51 28.0	 4.26	Acubens	Cancer	alpha
52089	06 58 37.55	-28 58 19.5	 1.50	Adara	Canis Major	epsilon
89025	10 16 41.40	+23 25 02.4	 3.43	Adhafera	Leo	dzeta
8207	01 22 20.39	+45 31 43.5	 4.87	Adhil	Andromeda	xi
28305	04 28 36.93	+19 10 49.9	 3.53	Ain	Taurus	epsilon
174974	18 54 10.18	-22 44 41.4	 4.86	Ain al Rami	Sagittarius	nu
18623	02 58 16.30	-40 18 16.0	 4.35	Akamar	Eridanus	theta
144217	16 05 26.23	-19 48 19.4	 2.56	Akrab	Scorpius	beta
108249	12 26 36.50	-63 05 58.0	 1.73	Akruks	Crux	alpha
31964	05 01 58.13	+43 49 23.9	 3.03	Al Anz; Almaaz	Auriga	epsilon
213798	22 29 52.97	+78 49 27.6	 5.45	Al Kalb al Rai	Cepheus	rho
81146	09 24 39.28	+26 10 56.8	 4.47	Al Minliar al Asad	Leo	kappa
73471	08 38 45.45	+03 20 29.3	 4.45	Al Minliar al Shuja; Minchir	Hydra	sigma
207971	21 53 55.65	-37 21 53.4	 3.00	Al'danab	Grus	gamma
87737	10 07 19.95	+16 45 45.6	 3.48	Al'dzhabkhakh	Leo	eta
81797	09 27 35.25	-08 39 31.3	 1.99	Al'fard	Hydra	alpha
9270	01 31 28.99	+15 20 45.0	 3.62	Al'farg	Pisces	eta
12447	02 02 02.80	+02 45 49.0	 4.33	Al'risha; Okda	Pisces	alpha
12446	02 02 02.80	+02 45 49.5	 3.82	Al'risha; Okda; Kantajn; Resha	Pisces	alpha
180163	19 13 45.49	+39 08 45.5	 4.43	Aladfar	Lyra	eta
12533	02 03 53.92	+42 19 47.5	 2.10	Alamak	Andromeda	gamma
169702	18 24 13.80	+39 30 26.1	 5.11	Alathfar; Al Athfar	Lyra	mu
178524	19 09 45.83	-21 01 24.7	 2.88	Albaldah; Al Baldah	Sagittarius	pi
198001	20 47 40.53	-09 29 44.5	 3.78	Albali	Aquarius	epsilon
183912	19 30 43.29	+27 57 34.9	 3.05	Albireo	Cygnus	beta
105452	12 08 24.75	-24 43 43.6	 4.02	Alchita	Corvus	alpha
116842	13 25 13.42	+54 59 16.8	 3.99	Alcor	Ursa Major	80
23630	03 47 29.06	+24 06 18.9	 2.85	Alcyone	Taurus	eta
29139	04 35 55.20	+16 30 35.1	 0.87	Aldebaran	Taurus	alpha
203280	21 18 34.58	+62 35 07.6	 2.45	Alderamin	Cepheus	alpha
180711	19 12 33.15	+67 39 40.7	 3.07	Aldib	Draco	delta
178253	19 09 28.28	-37 54 15.3	 4.11	Alfecca Meridiana	Corona Australis	alpha
192947	20 18 03.22	-12 32 41.5	 3.58	Algedi	Capricornus	alpha
886	00 13 14.15	+15 11 01.0	 2.83	Algenib	Pegasus	gamma
89484	10 19 58.16	+19 50 30.7	 2.01	Algieba	Leo	gamma
19356	03 08 10.13	+40 57 20.3	 2.09	Algol	Perseus	beta
108767	12 29 51.98	-16 30 54.3	 2.94	Algorab	Corvus	delta
47105	06 37 42.70	+16 23 57.9	 1.93	Alhena	Gemini	gamma
